id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken
752,49歳,Self Enquiry,1,1080秒,Salaried,Female,2.0,5.0,Basic,3.0,年に3回,1,3,Manager,,結婚済み、乗用車なし、こども1人,0
753,47才,Self Enquiry,2,14分,Small Business,Male,2.0,4.0,Deluxe,3.0,1,1,4,Manager,月収30.0万円,離婚済み/車未所持/こども1人,1
754,22歳,Self Enquiry,1,1260秒,Small Business,Male,2.0,3.0,basic,3.0,2,0,4,Executive,274215.0,独身/自動車所有/子供有り(1人),0
755,47歳,Self Enquiry,2,14分,Small Business,Female,3.0,4.0,Standard,3.0,1,0,4,Senior Manager,月収47.0万円,独身、自動車所有、こども2人,0
756,56歳,Self Enquiry,1,840秒,Small Business,ｍａｌｅ,2.0,3.0,Basic,3.0,7,0,5,Executive,月収38.0万円,離婚済み、車所持、子供1人,0
757,50歳,Self Enquiry,2,15分,Small Business,Female,3.0,5.0,Basic,3.0,3,0,3,Executive,318690.0,結婚済み、自家用車なし、子供有り(2人),0
758,37歳,Company Invited,2,960秒,Small Business,Male,2.0,4.0,Standard,3.0,3,0,2,Senior Manager,373455.0,離婚済み 自動車所有 子供1人,0
759,35歳,Company Invited,3,14分,Small Business,male,2.0,5.0,Basic,3.0,年に7回,0,2,Executive,月収30.0万円,未婚、車未所持、子供1人,1
760,２７歳,Company Invited,3,19分,Salaried,Female,2.0,4.0,Deluxe,3.0,年に1回,0,2,Manager,月収32.0万円,未婚、自動車未所有、子供1人,0
761,22歳,Self Enquiry,2,13分,Salaried,Male,1.0,4.0,Basic,3.0,1,0,2,Executive,250020.0,独身、自家用車あり、子供なし,1
762,30歳,Self Enquiry,2,7分,Salaried,Male,3.0,5.0,basic,3.0,3,0,4,Executive,299745.0,"離婚済み
車未所持
子供2人",0
763,29歳,Self Enquiry,2,840秒,Small Business,Male,2.0,5.0,Standard,3.0,3,0,4,Senior Manager,397560.0,"結婚済み,自家用車あり、子供1人",0
764,33歳,Self Enquiry,1,9分,Small Business,Male,2.0,5.0,Basic,3.0,3,0,3,Executive,月収35.0万円,結婚済み	自家用車あり	子供1人,0
765,32歳,Company Invited,1,15分,Small Business,Female,2.0,5.0,Standard,3.0,2,0,2,Senior Manager,375120.0,"離婚済み,自家用車なし,子供1人",0
766,52歳,Company Invited,1,14分,Salaried,male,1.0,4.0,Super Deluxe,3.0,6,0,1,AVP,541170.0,独身　車所持　子供なし,0
767,51歳,Self Enquiry,2,21分,Small Business,MALE,2.0,4.0,Deluxe,3.0,2,0,5,Manager,333705.0,結婚済み／車未所持/こども1人,0
768,34歳,Company Invited,2,12分,Small Business,FEMALE,2.0,4.0,standard,3.0,2,0,3,Senior Manager,月収39.0万円,結婚済み、車未所持、子供有り(1人),0
769,34歳,Self Enquiry,2,14分,Small Business,Male,2.0,4.0,Տtandard,3.0,2,0,3,Senior Manager,418680.0,結婚済み/自動車未所有/子供有り 1人,0
770,３８歳,Company Invited,2,31分,Small Business,Male,2.0,4.0,DELUXE,3.0,5,0,3,Manager,371310.0,結婚済み 自動車未所有 子供1人,0
771,35歳,Company Invited,2,23分,Small Business,Female,2.0,4.0,basic,4.0,5,0,4,Executivе,328170.0,離婚済み 自動車所有 こども1人,0
772,34歳,Company Invited,2,16分,Small Business,male,2.0,4.0,Deluxe,3.0,2,0,3,Manager,331005.0,未婚 車所持 こども1人,0
773,49才,Self Enquiry,2,27分,Small Business,Male,2.0,4.0,Super Deluxe,3.0,5,0,4,AVP,413325.0,"結婚済み,車所持、子供1人",0
774,26歳,Self Enquiry,2,12分,Small Business,Female,3.0,4.0,Basic,4.0,5,0,3,Executiѵe,,離婚済み　乗用車所持　子供2人,1
775,29歳,Company Invited,3,34分,Small Business,FE MALE,2.0,5.0,Deluxe,3.0,3,0,3,Manager,324330.0,未婚 車未所持 子供有り 1人,0
776,27歳,Self Enquiry,2,1740秒,Small Business,male,2.0,4.0,deluxe,3.0,3,0,3,Manager,319710.0,結婚済み、車未所持、子供有り 1人,0
777,27歳,Self Enquiry,2,16分,Large Business,Male,3.0,4.0,Basic,4.0,7,0,4,Senior Manager,370425.0,"未婚、自動車所有,こども2人",0
778,24歳,Company Invited,2,17分,Small Business,male,2.0,5.0,Basic,4.0,年に3回,0,3,Executive,313380.0,結婚済み、車未所持、こども1人,1
779,30代,Self Enquiry,2,9分,Small Business,Female,3.0,4.0,deluxe,3.0,1,0,5,Senior Manager,月収33.0万円,独身 自動車所有　こども2人,0
780,43歳,Self Enquiry,2,8分,Small Business,Male,2.0,4.0,deluxe,3.0,3,0,3,Manager,354840.0,未婚、自家用車なし、こども1人,0
781,31歳,Self Enquiry,2,26分,Small Business,Ｍａｌｅ,2.0,4.0,Deluxe,3.0,3,0,4,Manager,326010.0,"未婚,自動車未所有,子供1人",0
782,20代,Self Enquiry,3,9分,Small Business,Male,2.0,4.0,Βası𝘤,3.0,2,0,4,Executive,月収30.0万円,離婚済み、自動車所有、子供1人,1
783,25歳,Company Invited,2,16分,Small Business,Male,3.0,4.0,Basic,3.0,2,0,4,Executive,331815.0,未婚、自動車未所有、子供有り(2人),0
784,40代,Self Enquiry,2,7分,Small Business,female,3.0,4.0,Deluxe,3.0,年に2回,0,3,Manager,386100.0,"離婚済み,車未所持,子供2人",0
785,22歳,Self Enquiry,2,10分,Small Business,Male,2.0,4.0,Basic,3.0,2,0,3,Executive,342165.0,未婚　車保有なし　子供1人,0
786,40歳,Self Enquiry,2,7分,Salaried,Female,3.0,4.0,Standard,3.0,2,0,3,Senior Manager,416100.0,"結婚済み、乗用車なし,2児",0
787,４３歳,Self Enquiry,2,420秒,Salaried,male,2.0,4.0,Deluxe,3.0,2,0,3,Manager,339720.0,"結婚済み、車所持,子供有り 1人",0
788,22歳,Self Enquiry,2,840秒,Salaried,female,2.0,4.0,Basic,4.0,2,0,3,Executive,306300.0,未婚、車所持、子供1人,0
789,40歳,Self Enquiry,2,9分,Salaried,Male,2.0,4.0,Standard,3.0,5,0,3,Senior Manager,360615.0,"結婚済み、車未所持,こども1人",0
790,39歳,Self Enquiry,3,9分,Salaried,Male,2.0,4.0,Standard,3.0,5,0,3,Senior Manager,月収49.0万円,未婚/自動車未所有/子供1人,1
791,30歳,Company Invited,3,720秒,Salaried,Fe Male,3.0,4.0,Deluxe,3.0,2,0,4,Manager,330870.0,未婚、車所持、子供2人,0
792,39歳,Company Invited,3,7分,Salaried,male,3.0,4.0,DELUXE,4.0,7,0,4,Manager,342900.0,未婚、車未所持、子供2人,0
793,54歳,Self Enquiry,2,2100秒,Salaried,Ｆｅｍａｌｅ,2.0,5.0,Deluxe,3.0,5,0,3,Manager,350145.0,離婚済み、自家用車なし、子供1人,0
794,49歳,Self Enquiry,2,12分,Salaried,male,2.0,4.0,Deluxe,3.0,1,0,3,Manager,303615.0,結婚済み、車所持、こども1人,0
795,41歳,Self Enquiry,2,14分,Salaried,Male,3.0,4.0,deluxe,3.0,年に2回,0,3,Manager,月収45.0万円,離婚済み、乗用車所持、こども2人,0
796,４３歳,Company Invited,2,7分,Salaried,Male,2.0,4.0,Deluxe,3.0,半年に1回,0,3,Manager,328080.0,未婚、車あり、子供1人,0
797,四十三歳,Self Enquiry,2,420秒,Salaried,male,2.0,4.0,Deluxe,3.0,5,0,4,Manager,322875.0,離婚済み　車所持　1児,0
798,36歳,Self Enquiry,2,10分,Salaried,Male,2.0,4.0,Basic,3.0,年に1回,0,3,Executive,259500.0,独身、自動車未所有、子供1人,0
799,52歳,Self Enquiry,2,11分,Salaried,male,2.0,4.0,King,4.0,3,0,4,Manager,404115.0,結婚済み、車未所持、子供1人,0
800,26歳,Company Invited,2,16分,Small Business,Female,2.0,4.0,Basic,4.0,2,1,3,Е×еcutive,319200.0,離婚済み／自動車所有/子供1人,0
801,38歳,Self Enquiry,2,22分,Salaried,ＭＡＬＥ,2.0,4.0,Deluxe,3.0,年に5回,1,4,Manager,351855.0,未婚、車未所持、子供1人,0
802,35歳,Company Invited,3,16分,Small Business,Female,2.0,5.0,Deluxe,3.0,2,0,3,Manager,318075.0,離婚済み、自家用車なし、子供1人,0
803,38歳,Self Enquiry,1,9分,Large Business,Male,3.0,4.0,basic,3.0,2,0,4,Executive,490620.0,結婚済み　自家用車なし　2児,0
804,59歳,Company Invited,1,1020秒,Small Business,Male,2.0,4.0,Super Deluxe,4.0,1,0,4,AVP,454395.0,"離婚済み,車所持,子供1人",0
805,52才,Self Enquiry,1,33分,Large Business,Male,2.0,4.0,Super Deluxe,4.0,2,0,3,AVP,月収54.0万円,未婚、車保有、こども1人,0
806,43歳,Self Enquiry,1,8分,Small Business,ｆｅｍａｌｅ,3.0,4.0,Standard,3.0,2,0,4,Senior Manager,383475.0,離婚済み、車未所持、子供2人,0
807,41歳,Self Enquiry,1,14分,Small Business,Female,2.0,5.0,King,3.0,年に2回,0,4,VP,541815.0,結婚済み 自動車所有 子供有り 1人,0
808,44歳,Self Enquiry,1,15分,Large Business,Male,3.0,5.0,Βasic,3.0,5,0,4,Executive,月収30.0万円,"結婚済み,自動車未所有,子供有り 2人",0
809,24歳,Company Invited,1,,Small Business,Male,2.0,5.0,Basic,3.0,2,0,4,Executive,255045.0,独身、車未所持、こども1人,1
810,40歳,Self Enquiry,1,15分,Small Business,Male,2.0,5.0,Basic,3.0,3,0,4,Executive,267540.0,結婚済み 自動車未所有　こども1人,1
811,31歳,Self Enquiry,1,8分,Small Business,Male,2.0,5.0,Standard,3.0,2,0,3,Senior Manager,月収40.0万円,"未婚,自家用車なし,こども1人",0
812,32際,Self Enquiry,1,900秒,Small Business,male,2.0,4.0,Basic,3.0,8,0,3,Executive,318240.0,独身、車未所持、こども1人,1
813,56歳,Self Enquiry,1,9分,Large Business,Female,3.0,4.0,Standard,3.0,5,0,5,Senior Manager,361065.0,結婚済み 自動車未所有 こども2人,0
814,41歳,Self Enquiry,1,9分,Small Business,FEMALE,2.0,4.0,Basic,3.0,2,0,3,Executive,月収26.0万円,離婚済み/車所持/子供1人,0
815,52歳,Self Enquiry,1,10分,Large Business,male,3.0,4.0,Standard,3.0,年に2回,0,3,Senior Manager,363225.0,"未婚、車所持,子供2人",0
816,３６歳,Self Enquiry,1,7分,Small Business,Male,2.0,4.0,Basic,3.0,2,0,3,Executive,366105.0,離婚済み 車なし こども1人,0
817,24歳,Company Invited,1,23分,Small Business,ｆｅｍａｌｅ,2.0,4.0,Basic,3.0,年に2回,0,3,Exеcutive,309030.0,"離婚済み,車所持,子供1人",0
818,４１歳,Self Enquiry,1,6分,Salaried,Male,2.0,4.0,Deluxe,3.0,2,0,4,Manager,月収32.0万円,"未婚,乗用車なし,こども1人",0
819,三十七歳,Company Invited,1,,Salaried,Female,2.0,4.0,DELUXE,3.0,3,0,4,Manager,327945.0,独身	自家用車なし	子供1人,0
820,25歳,Self Enquiry,1,8分,Salaried,Ｍａｌｅ,3.0,4.0,Basic,3.0,年に2回,0,4,Еxecutive,月収46.0万円,結婚済み、車未所持、子供2人,0
821,22歳,Self Enquiry,1,7分,Salaried,Female,3.0,4.0,Basic,3.0,2,0,4,Executive,295755.0,離婚済み/乗用車所持／子供有り(2人),0
822,41才,Company Invited,1,13分,Salaried,FE MALE,2.0,4.0,Standard,3.0,2,0,4,Senior Manager,391110.0,結婚済み、車所持、子供1人,0
823,33際,Self Enquiry,1,14分,Salaried,Male,3.0,4.0,Standard,3.0,3,0,4,Senior Manager,423450.0,結婚済み、自動車所有、子供有り 2人,0
824,38歳,Self Enquiry,1,9分,Salaried,Male,2.0,4.0,Deluxe,3.0,4,0,4,Manager,368835.0,結婚済み、車保有なし、こども1人,0
825,,Self Enquiry,1,23分,Salaried,Female,2.0,4.0,basic,3.0,2,0,4,Executive,,結婚済み/車未所持/こども1人,0
826,41歳,Self Enquiry,1,300秒,Salaried,Male,2.0,4.0,Standard,3.0,3,0,3,Senior Manager,489900.0,"離婚済み、車所持,こども1人",0
827,40代,Self Enquiry,1,18分,Salaried,Female,2.0,4.0,Super Deluxe,4.0,3,0,3,AVP,429585.0,結婚済み 自動車所有 こども1人,0
828,39歳,Company Invited,1,9分,Salaried,MALE,2.0,4.0,Basic,3.0,3,0,4,Manager,325560.0,結婚済み 車所持 子供有り 1人,0
829,53歳,Self Enquiry,2,840秒,Small Business,ＦＥＭＡＬＥ,3.0,3.0,deluxe,3.0,7,0,2,Manager,286920.0,結婚済み/車所持/子供2人,0
830,,Company Invited,2,12分,Small Business,Male,3.0,3.0,Basic,3.0,2,0,2,Executive,278535.0,結婚済み、車未所持、こども2人,1
831,45歳,Self Enquiry,2,1860秒,Large Business,male,3.0,3.0,Deluxe,4.0,5,0,2,Manager,354135.0,結婚済み/車未所持/子供2人,0
832,28歳,Company Invited,2,16分,Large Business,Male,3.0,3.0,Deluxe,3.0,2,0,2,Manager,309390.0,結婚済み、車保有、子供2人,0
833,50代,Self Enquiry,2,11分,Salaried,male,3.0,3.0,Deluxe,4.0,5,0,2,Manager,月収32.0万円,結婚済み/車未所持/子供2人,0
834,41歳,Self Enquiry,2,17分,Salaried,Ｍａｌｅ,3.0,3.0,standard,3.0,5,0,1,Senior Manager,332085.0,結婚済み 自動車未所有 子供2人,0
835,31歳,Self Enquiry,3,17分,Small Business,female,3.0,3.0,basic,3.0,年に3回,0,2,Executive,255615.0,結婚済み、車所持、子供有り 2人,0
836,49歳,Self Enquiry,2,14分,Salaried,male,3.0,3.0,Deluxe,3.0,5,0,2,Manager,331905.0,結婚済み 車未所持 こども2人,0
837,二十五歳,Self Enquiry,2,600秒,Small Business,MALE,3.0,3.0,Deluxe,3.0,2,0,1,Manager,317310.0,結婚済み、車所持、子供2人,0
838,43歳,Self Enquiry,2,8分,Small Business,fe male,3.0,3.0,Deluxe,3.0,6,0,2,Manager,334980.0,"未婚,車未所持,2児",0
839,31歳,Self Enquiry,2,2040秒,Large Business,male,3.0,3.0,Deluxe,3.0,3,0,2,Manager,310395.0,結婚済み、乗用車なし、子供2人,0
840,37歳,Self Enquiry,2,11分,Salaried,Female,3.0,3.0,Deluxe,3.0,5,0,2,Manager,346125.0,結婚済み、車未所持、こども2人,0
841,45歳,Company Invited,2,9分,Salaried,MALE,3.0,3.0,Super Deluxe,3.0,2,0,2,AVP,370965.0,独身/車未所持／子供有り(2人),0
842,３５歳,Self Enquiry,2,8分,Small Business,Male,2.0,4.0,Basic,4.0,7,0,4,Executive,271410.0,結婚済み	自動車所有	こども1人,0
843,27才,Company Invited,2,21分,Small Business,female,1.0,4.0,Basic,3.0,3,0,3,Executive,月収30.0万円,未婚 車所持 子供なし,0
844,49歳,Self Enquiry,2,15分,Small Business,ｆｅ　ｍａｌｅ,2.0,4.0,Super Deluxe,4.0,6,0,4,AVP,471120.0,独身	車未所持	子供1人,0
845,46際,Self Enquiry,2,1200秒,Salaried,FE MALE,2.0,4.0,Deluxe,3.0,年に4回,0,3,Manager,357855.0,未婚	車未所持	子供1人,0
846,20歳,Self Enquiry,1,12分,Small Business,Male,3.0,4.0,Basic,4.0,年に3回,1,3,Executive,315060.0,独身/乗用車なし/こども2人,1
847,４５歳,Company Invited,2,9分,Small Business,Female,2.0,4.0,Deluxe,3.0,6,1,3,Manager,月収30.0万円,結婚済み、車なし、子供1人,1
848,48歳,Self Enquiry,1,10分,Salaried,Male,2.0,4.0,Super Deluxe,3.0,4,1,4,AVP,473325.0,結婚済み、車保有なし、こども1人,0
849,45歳,Self Enquiry,1,420秒,Small Business,male,2.0,6.0,Basic,3.0,年に3回,0,3,Executive,354105.0,結婚済み、自動車所有、子供1人,0
850,32歳,Company Invited,2,30分,Salaried,Male,3.0,4.0,Deluxe,3.0,3,0,2,Manager,369285.0,結婚済み/自動車未所有/子供2人,0
851,25歳,Self Enquiry,1,540秒,Large Business,male,3.0,3.0,BASIC,3.0,年に2回,0,2,Executive,258930.0,未婚	車未所持	こども2人,0
852,31歳,Self Enquiry,2,960秒,Salaried,Male,3.0,4.0,Basic,3.0,5,1,1,Executive,342900.0,離婚済み 乗用車なし こども2人,1
853,37歳,Company Invited,1,16分,Salaried,Female,3.0,3.0,Basic,3.0,3,0,2,Executive,315465.0,結婚済み/自動車未所有/こども2人,0
854,３３才,Self Enquiry,1,13分,Salaried,Male,3.0,3.0,BASIC,3.0,3,0,2,Executive,339435.0,"離婚済み,乗用車所持,こども2人",1
855,39歳,Self Enquiry,2,13分,Salaried,Male,3.0,4.0,Deluxe,3.0,2,0,2,Manager,323820.0,"結婚済み、車未所持,こども2人",0
856,30歳,Self Enquiry,1,,Small Business,ＦＥＭＡＬＥ,1.0,4.0,Basic,3.0,2,0,4,Executive,255270.0,"離婚済み,車所持,子供なし",0
857,37歳,Self Enquiry,1,22分,Small Business,Male,2.0,4.0,Basic,3.0,5,0,4,Executive,月収30.0万円,結婚済み 自動車未所有 子供有り(1人),0
858,36歳,Company Invited,1,1560秒,Salaried,MALE,2.0,4.0,Deluxe,3.0,7,0,4,Manager,345240.0,"未婚,車未所持,子供有り(1人)",0
859,50歳,Company Invited,1,8分,Salaried,Female,1.0,3.0,Super Deluxe,3.0,1,1,2,AVP,526770.0,独身、自家用車あり、無子,0
860,22歳,Company Invited,1,840秒,Salaried,Male,3.0,3.0,Basic,3.0,2,0,2,Executive,264315.0,離婚済み、自家用車なし、子供2人,0
861,四十歳,Company Invited,1,29分,Salaried,Female,2.0,6.0,Standard,3.0,4,0,4,Senior Manager,501375.0,結婚済み、自動車所有、子供有り 1人,1
862,50代,Self Enquiry,1,19分,Salaried,Female,2.0,3.0,Super Deluxe,4.0,5,0,3,AVP,565035.0,結婚済み／車あり／不明,0
863,31歳,Company Invited,2,1020秒,Small Business,MALE,3.0,5.0,Basic,4.0,年に1回,0,4,Executive,302100.0,"結婚済み、車所持,子供2人",1
864,20歳,Self Enquiry,3,,Small Business,Female,2.0,5.0,Basic,3.0,3,0,3,Executive,306240.0,独身 車所持 子供1人,0
865,21歳,Company Invited,2,1500秒,Small Business,FEMALE,2.0,5.0,Basic,3.0,2,0,4,Executive,262605.0,独身、車所持、子供1人,1
866,41歳,Company Invited,2,32分,Small Business,female,2.0,5.0,Deluxe,3.0,1,0,4,Μanager,333630.0,結婚済み/車未所持/こども1人,0
867,37歳,Self Enquiry,2,420秒,Small Business,Female,2.0,5.0,BASIC,3.0,4,0,3,Executive,316545.0,独身、車保有、子供1人,0
868,37歳,Self Enquiry,2,6分,Large Business,female,2.0,5.0,Basic,3.0,5,0,4,Executive,321120.0,結婚済み 車所持 子供1人,0
869,50代,Self Enquiry,2,14分,Salaried,Male,1.0,3.0,King,3.0,2,0,2,VP,530895.0,結婚済み／車所持／子供無し,0
870,51歳,Self Enquiry,1,16分,Salaried,Male,1.0,3.0,Super Deluxe,3.0,1,0,2,АVP,560550.0,離婚済み　車所持　子供無し,0
871,40代,Company Invited,2,8分,Small Business,MALE,2.0,5.0,Standard,3.0,年に2回,1,2,Senior Manager,435585.0,独身、車未所持、こども1人,0
872,37歳,Company Invited,3,7分,Salaried,female,2.0,5.0,STANDARD,4.0,2,0,3,Senior Manager,470970.0,結婚済み、車所持、子供1人,0
873,33歳,Company Invited,2,23分,Salaried,Ｍａｌｅ,2.0,5.0,Deluxe,3.0,3,0,4,Manager,323160.0,結婚済み/自動車未所有/子供1人,0
874,36歳,Company Invited,1,13分,Small Business,fe male,2.0,5.0,Standard,3.0,2,0,2,Senior Manager,441165.0,未婚 車未所持 こども1人,0
875,38歳,Self Enquiry,1,720秒,Small Business,Male,3.0,5.0,Deluxe,3.0,3,0,3,Manager,月収31.0万円,結婚済み、乗用車所持、こども2人,0
876,20歳,Company Invited,1,960秒,Small Business,Male,3.0,5.0,Basic,3.0,3,0,3,Executive,343230.0,結婚済み/車保有/子供2人,0
877,39歳,Self Enquiry,1,7分,Small Business,Male,2.0,5.0,Basıc,3.0,4,0,3,Executive,307905.0,離婚済み、自動車未所有、1児,0
878,39歳,Self Enquiry,1,25分,Small Business,Male,2.0,5.0,Deluxe,4.0,7,0,4,Manager,348840.0,未婚 自動車未所有 子供1人,0
879,19歳,Self Enquiry,1,480秒,Small Business,Ｍａｌｅ,3.0,5.0,Basic,4.0,7,0,5,Executive,月収30.0万円,離婚済み/自動車所有/子供2人,1
880,35才,Company Invited,3,17分,Small Business,FEMALE,3.0,5.0,Standard,3.0,2,0,4,Senior Manager,323160.0,離婚済み 車所持 2児,0
881,二十九歳,Self Enquiry,1,7分,Salaried,Male,3.0,5.0,Basic,3.0,半年に1回,0,3,Executive,401580.0,結婚済み 車所持 子供2人,0
882,26歳,Self Enquiry,1,8分,Salaried,Male,3.0,5.0,Basic,3.0,3,0,5,Executive,357120.0,"結婚済み,自家用車あり,子供2人",0
883,40歳,Company Invited,1,9分,Salaried,female,2.0,5.0,Super Deluxe,3.0,2,0,3,AVP,547680.0,結婚済み	車所持	こども1人,0
884,27歳,Self Enquiry,1,8分,Salaried,ＭＡＬＥ,2.0,5.0,Basic,3.0,3,0,4,Executive,298635.0,結婚済み、車所持、子供1人,0
885,30歳,Company Invited,1,7分,Salaried,Ｍａｌｅ,3.0,5.0,Basic,3.0,7,0,3,Executive,267495.0,独身 自動車所有 子供2人,0
886,30歳,Company Invited,1,22分,Salaried,MALE,2.0,5.0,Basic,3.0,3,0,4,Executive,月収31.0万円,離婚済み 車所持 こども1人,0
887,55際,Self Enquiry,1,32分,Salaried,Female,2.0,5.0,Deluxe,3.0,1,0,4,Manager,月収30.0万円,結婚済み、自動車所有、こども1人,0
888,５１歳,Self Enquiry,1,18分,Salaried,Ｆｅｍａｌｅ,3.0,5.0,Delu×e,4.0,6,0,5,Manager,月収55.0万円,離婚済み	車所持	子供2人,0
889,30代,Company Invited,1,780秒,Salaried,male,2.0,5.0,Deluxe,3.0,1,0,5,Manager,299370.0,結婚済み、車所持、子供1人,0
890,40歳,Self Enquiry,1,9分,Small Business,Male,3.0,6.0,Basic,3.0,5,0,4,Executive,月収31.0万円,"離婚済み,乗用車なし,子供2人",0
891,32才,Company Invited,2,540秒,Small Business,Female,1.0,5.0,Basic,3.0,3,0,3,Executive,256455.0,独身　自動車未所有 子供無し,0
892,51才,Company Invited,2,17分,Small Business,Male,1.0,6.0,BASIC,3.0,5,0,2,Executive,301215.0,独身 車所持 子供なし,0
893,38歳,Self Enquiry,1,8分,Salaried,female,3.0,600.0,Basic,3.0,5,0,3,Executive,312480.0,独身／車所持／子供2人,0
894,18歳,Self Enquiry,2,9分,Salaried,female,2.0,5.0,Standard,4.0,3,1,3,Senior Manager,412260.0,独身、車所持、子供1人,0
895,45歳,Self Enquiry,1,10分,Small Business,male,2.0,5.0,Deluxe,3.0,3,0,3,Manager,319740.0,結婚済み	車未所持	子供1人,0
896,４５歳,Self Enquiry,2,9分,Small Business,Female,3.0,5.0,DELUXE,4.0,3,0,1,Manager,342060.0,離婚済み、車なし、子供2人,0
897,54歳,Company Invited,2,9分,Salaried,Male,2.0,6.0,Standard,3.0,5,0,3,Senior Manager,349260.0,結婚済み/車未所持／1児,1
898,54歳,Self Enquiry,1,28分,Salaried,Male,3.0,5.0,Super Deluxe,3.0,5,0,4,AVP,545625.0,"結婚済み,自家用車なし,不明",0
899,,Company Invited,1,8分,Small Business,MALE,3.0,3.0,super deluxe,3.0,2,0,4,AVP,,離婚済み、車所持、子供無し,0
900,49歳,Company Invited,1,7分,Large Business,Male,2.0,4.0,basic,3.0,7,0,2,Executive,月収50.0万円,独身、自動車所有、子供無し,0
901,46際,Self Enquiry,2,660秒,Salaried,Male,3.0,4.0,Kıng,3.0,,0,2,VP,459615.0,結婚済み/車保有/子供有り(2人),0
902,37歳,Self Enquiry,1,10分,Small Business,Male,3.0,4.0,Basic,3.0,3,0,2,Executive,323670.0,独身 自動車未所有 子供2人,1
903,40代,Self Enquiry,3,11分,Small Business,Ｆｅ　Ｍａｌｅ,2.0,2.0,STANDARD,4.0,7,0,2,Senior Manager,月収44.0万円,離婚済み、車所持、子供1人,0
904,41歳,Company Invited,2,,Small Business,male,2.0,3.0,Deluxe,3.0,3,0,2,Manager,月収30.0万円,結婚済み、車未所持、子供1人,0
905,２８歳,Self Enquiry,2,2040秒,Small Business,female,2.0,3.0,Deluxe,3.0,2,0,2,Manager,339825.0,結婚済み、車未所持、子供1人,0
906,54歳,Self Enquiry,2,34分,Small Business,FEMALE,2.0,3.0,STANDARD,3.0,5,0,2,Senior Manager,341640.0,結婚済み/車所持/子供1人,0
907,37歳,Self Enquiry,1,15分,Large Business,Male,1.0,4.0,BASIC,4.0,1,0,4,Executive,261960.0,独身　車保有なし　子供ゼロ,1
908,49歳,Company Invited,2,480秒,Large Business,Female,1.0,4.0,Standard,4.0,2,0,3,Senior Manager,366465.0,結婚済み、自家用車あり、子供無し,0
909,32歳,Company Invited,1,540秒,Small Business,Female,1.0,4.0,Basic,4.0,1,1,3,Executive,274050.0,独身	自動車所有	子供無し,1
910,,Self Enquiry,1,480秒,Small Business,Female,2.0,1.0,Basic,3.0,年に2回,0,1,Executive,267360.0,結婚済み、自動車所有、1児,0
911,38歳,Company Invited,1,9分,Small Business,male,2.0,3.0,Basic,3.0,2,0,2,Executive,260910.0,結婚済み／車未所持／子供有り 1人,0
912,55歳,Company Invited,1,14分,Salaried,Female,1.0,4.0,Super Deluxe,5.0,年に5回,0,4,AVP,488490.0,独身/自家用車あり／子供なし,0
913,33歳,Company Invited,2,22分,Salaried,Male,1.0,4.0,Standard,4.0,2,0,3,Senior Manager,347490.0,未婚、自家用車なし、無子,0
914,五十歳,Self Enquiry,1,11分,Salaried,male,2.0,2.0,Deluxe,3.0,3,1,1,Manager,月収40.0万円,未婚 自家用車なし 子供1人,0
915,45歳,Company Invited,1,32分,Small Business,Ｆｅ　Ｍａｌｅ,2.0,2.0,Deluxe,3.0,3,1,2,Manager,364365.0,"未婚,車未所持,子供1人",0
916,25歳,Company Invited,2,32分,Small Business,Female,1.0,4.0,Basic,3.0,1,0,2,Executive,252525.0,"独身、自動車未所有,子供ゼロ",1
917,36才,Self Enquiry,2,11分,Salaried,Male,2.0,4.0,Deluxe,3.0,5,0,2,Manager,356520.0,離婚済み、車未所持、子供1人,0
918,４８歳,Company Invited,2,420秒,Small Business,Male,1.0,4.0,Basic,3.0,2,0,2,Executive,242280.0,"独身,乗用車なし,子供無し",1
919,30代,Self Enquiry,1,18分,Salaried,Ｍａｌｅ,2.0,4.0,Deluxe,3.0,2,0,2,Manager,344520.0,離婚済み、自動車所有、子供1人,0
920,25歳,Company Invited,1,840秒,Small Business,Male,1.0,4.0,Basic,3.0,7,0,2,Executive,月収30.0万円,独身/車所持/子供無し,0
921,28歳,Self Enquiry,2,9分,Small Business,Male,2.0,3.0,Basic,3.0,2,0,3,Executive,259050.0,結婚済み 乗用車なし 子供1人,0
922,34歳,Company Invited,2,,Small Business,female,2.0,3.0,Deluxe,3.0,3,0,4,Manager,293505.0,独身 車所持 子供有り 1人,0
923,22才,Company Invited,2,17分,Small Business,male,2.0,,Basic,3.0,1,0,4,Executive,257865.0,結婚済み	車所持	子供1人,1
924,41歳,Self Enquiry,2,7分,Small Business,Ｆｅｍａｌｅ,2.0,3.0,Deluxe,3.0,4,0,4,Manager,326325.0,未婚、自動車所有、子供1人,0
925,51歳,Company Invited,2,7分,Small Business,Ｍａｌｅ,2.0,4.0,King,3.0,年に6回,0,2,VP,月収50.0万円,結婚済み　車あり　子供1人,0
926,51歳,Company Invited,2,23分,Small Business,Female,1.0,3.0,DELUXE,4.0,1,0,4,Manager,366045.0,離婚済み、自家用車あり、非育児家庭,0
